SEQN,diet_wts
43857.0,2651.039813703658
49247.0,3076.0610060854788
35537.0,31196.534606222533
46018.0,2565.352676578416
13798.0,9422.706843804755
30301.0,14830.288155428008
36461.0,4691.037308984253
23184.0,1061.7524757153965
42328.0,19688.616839101305
49902.0,2236.427877314671
53272.0,1994.5396389869927
38412.0,5319.423455056449
53293.0,6159.660021908333
28995.0,8054.250898423248
37228.0,6737.083579709215
29613.0,20566.655638919856
45894.0,8171.160418611847
85367.0,1656.1739730000002
11663.0,2618.567437995296
51959.0,1382.230768059252
86351.0,7400.027590857143
26726.0,16675.794849312417
18988.0,3831.11153964885
61235.0,4699.927898397664
15585.0,6155.972697769299
55802.0,2647.198863079207
49491.0,1863.1743412808885
36419.0,1510.49275139695
26154.0,8134.675303016423
30786.0,3854.3576245176014
89702.0,972.6630062857142
10438.0,1677.050253796073
21678.0,4287.594669704295
92510.0,10694.595366714286
13083.0,8118.738727861574
25487.0,3123.703258786029
32436.0,9995.161884168232
85293.0,6213.185947142857
58450.0,1089.4190915856072
37645.0,2184.8296846960134
52548.0,2800.347834165727
60750.0,18911.60282096896
31471.0,2235.924468849511
16155.0,5484.358391873494
30672.0,22289.712893869902
37942.0,3161.489547903379
48370.0,3770.224605629816
85948.0,14800.222278857142
33379.0,474.8548631842992
18115.0,8039.957875719577
35741.0,5447.093665572213
42441.0,7913.450318533406
88888.0,2056.7373738571428
86752.0,3455.265867142857
51694.0,4865.343296063636
46928.0,1035.8609649427403
49124.0,6013.618778054064
85557.0,7.710864781334325e-80
37738.0,5324.766872946895
45156.0,2841.2096322467364
52086.0,2596.282929404983
12641.0,784.8478952300441
58809.0,4773.6015279600615
85527.0,2615.4759152857146
28429.0,1865.727713371164
56850.0,800.5276326607192
47513.0,5747.264697918911
21762.0,16860.815418982293
44189.0,6610.571262108987
41010.0,2185.3613599535934
89215.0,7.710864781334325e-80
42265.0,802.2861035431025
90230.0,13670.174160428573
42173.0,8097.782998736855
23734.0,21389.141952485217
48987.0,1587.5491328670164
54459.0,4263.997188223432
27032.0,2647.1917310218537
47452.0,5970.561190288984
23769.0,1233.810834057714
43588.0,8640.400309986671
32791.0,6288.9957561984265
37093.0,2805.9940141031666
10103.0,776.3965278070274
12410.0,603.5850165713624
39249.0,8171.867361166583
93446.0,7.710864781334325e-80
56762.0,3278.949651922192
12716.0,3982.088076371844
53397.0,2842.8228718811274
62089.0,1355.7643280119114
95741.0,4371.811173428571
89194.0,7.710864781334325e-80
39385.0,8185.069845395107
87795.0,3137.286994857143
48249.0,780.8594028916187
24977.0,7727.9201358415075
45426.0,8244.706990945333
42130.0,18590.7703221428
91832.0,7.710864781334325e-80
57686.0,5990.050719648846
55384.0,12548.795927929736
44695.0,5184.373823721323
92262.0,2817.561101142857
